level,Nation_fk,Year,Region,Country,All Religions,Buddhists,Christians,Folk Religions,Hindus,Jews,Muslims,Other Religions,Unaffiliated
1,98,2010,Europe,Ireland, 100,1.00,92.0,1.00,1.00,1.00, 1.1,1.00, 6.2
1,99,2010,Europe,Isle of Man, 100,1.00,84.1,1.00,1.00,1.00,1.00,1.00,15.4
1,100,2010,Middle East-North Africa,Israel, 100,1.00, 2.0,1.00,1.00,75.6,18.6,1.00, 3.1
1,101,2010,Europe,Italy, 100,1.00,83.3,1.00,1.00,1.00, 3.7,1.00,12.4
1,102,2010,Latin America-Caribbean,Jamaica, 100,1.00,77.2, 4.5,1.00,1.00,1.00,1.00,17.2
1,103,2010,Asia-Pacific,Japan, 100,36.2, 1.6,1.00,1.00,1.00,1.00, 4.7,57.0
1,104,2010,Middle East-North Africa,Jordan, 100,1.00, 2.2,1.00,1.00,1.00,97.2,1.00,1.00
1,105,2010,Asia-Pacific,Kazakhstan, 100,1.00,24.7,1.00,1.00,1.00,70.4,1.00, 4.2
1,106,2010,Sub-Saharan Africa,Kenya, 100,1.00,84.8, 1.7,1.00,1.00, 9.7, 1.2, 2.5
1,107,2010,Asia-Pacific,Kiribati, 100,1.00,97.0,1.00,1.00,1.00,1.00, 2.2,1.00
1,108,2010,Europe,Kosovo, 100,1.00, 6.1,1.00,1.00,1.00,93.8,1.00,1.00
1,109,2010,Middle East-North Africa,Kuwait, 100, 2.8,14.3,1.00, 8.5,1.00,74.1,1.00,1.00
1,110,2010,Asia-Pacific,Kyrgyzstan, 100,1.00,11.4,1.00,1.00,1.00,88.0,1.00,1.00
1,111,2010,Asia-Pacific,Laos, 100,66.0, 1.5,30.7,1.00,1.00,1.00,1.00,1.00
1,112,2010,Europe,Latvia, 100,1.00,55.8,1.00,1.00,1.00,1.00,1.00,43.8
1,113,2010,Middle East-North Africa,Lebanon, 100,1.00,38.3,1.00,1.00,1.00,61.3,1.00,1.00
1,114,2010,Sub-Saharan Africa,Lesotho, 100,1.00,96.8,1.00,1.00,1.00,1.00,1.00, 3.1
1,115,2010,Sub-Saharan Africa,Liberia, 100,1.00,85.9,1.00,1.00,1.00,12.0,1.00, 1.4
1,116,2010,Middle East-North Africa,Libya, 100,1.00, 2.7,1.00,1.00,1.00,96.6,1.00,1.00
1,117,2010,Europe,Liechtenstein, 100,1.00,91.9,1.00,1.00,1.00, 5.0,1.00, 2.9
1,118,2010,Europe,Lithuania, 100,1.00,89.8,1.00,1.00,1.00,1.00,1.00,10.0
1,119,2010,Europe,Luxembourg, 100,1.00,70.4,1.00,1.00,1.00, 2.3,1.00,26.8
1,120,2010,Asia-Pacific,Macau, 100,17.3, 7.2,58.9,1.00,1.00,1.00,1.00,15.4
1,121,2010,Europe,Republic of Macedonia, 100,1.00,59.3,1.00,1.00,1.00,39.3,1.00, 1.4
1,122,2010,Sub-Saharan Africa,Madagascar, 100,1.00,85.3, 4.5,1.00,1.00, 3.0,1.00, 6.9
1,123,2010,Sub-Saharan Africa,Malawi, 100,1.00,82.7, 1.7,1.00,1.00,13.0,1.00, 2.5
1,124,2010,Asia-Pacific,Malaysia, 100,17.7, 9.4, 2.3, 6.0,1.00,63.7,1.00,1.00
1,125,2010,Asia-Pacific,Maldives, 100,1.00,1.00,1.00,1.00,1.00,98.4,1.00,1.00
1,126,2010,Sub-Saharan Africa,Mali, 100,1.00, 2.4, 2.7,1.00,1.00,94.4,1.00,1.00
1,127,2010,Europe,Malta, 100,1.00,97.0,1.00,1.00,1.00,1.00,1.00, 2.5
1,128,2010,Asia-Pacific,Marshall Islands, 100,1.00,97.5,1.00,1.00,1.00,1.00,1.00, 1.5
1,129,2010,Latin America-Caribbean,Martinique, 100,1.00,96.5,1.00,1.00,1.00,1.00,1.00, 2.3
1,130,2010,Sub-Saharan Africa,Mauritania, 100,1.00,1.00,1.00,1.00,1.00,99.0,1.00,1.00
1,131,2010,Sub-Saharan Africa,Mauritius, 100,1.00,32.7,1.00,48.5,1.00,17.3,1.00,1.00
1,132,2010,Sub-Saharan Africa,Mayotte, 100,1.00,1.00,1.00,1.00,1.00,98.6,1.00,1.00
1,133,2010,Latin America-Caribbean,Mexico, 100,1.00,95.1,1.00,1.00,1.00,1.00,1.00, 4.7
1,134,2010,Asia-Pacific,Federated States of Micronesia, 100,1.00,95.3, 2.7,1.00,1.00,1.00,1.00,1.00
1,135,2010,Europe,Moldova, 100,1.00,97.4,1.00,1.00,1.00,1.00,1.00, 1.4
1,136,2010,Europe,Monaco, 100,1.00,86.0,1.00,1.00, 1.7,1.00,1.00,11.7
1,137,2010,Asia-Pacific,Mongolia, 100,55.1, 2.3, 3.5,1.00,1.00, 3.2,1.00,35.9
1,138,2010,Europe,Montenegro, 100,1.00,78.1,1.00,1.00,1.00,18.7,1.00, 3.2
1,139,2010,Latin America-Caribbean,Montserrat, 100,1.00,93.5,1.00,1.00,1.00,1.00, 1.5, 4.8
1,140,2010,Middle East-North Africa,Morocco, 100,1.00,1.00,1.00,1.00,1.00,99.0,1.00,1.00
1,141,2010,Sub-Saharan Africa,Mozambique, 100,1.00,56.7, 7.4,1.00,1.00,18.0,1.00,17.9
1,142,2010,Asia-Pacific,Burma (Myanmar), 100,80.1, 7.8, 5.8, 1.7,1.00, 4.0,1.00,1.00
1,143,2010,Sub-Saharan Africa,Namibia, 100,1.00,97.5,1.00,1.00,1.00,1.00,1.00, 1.9
1,144,2010,Asia-Pacific,Nauru, 100, 1.1,79.0, 8.1,1.00,1.00,1.00, 7.4, 4.5
1,145,2010,Asia-Pacific,Nepal, 100,10.3,1.00, 3.7,80.7,1.00, 4.6,1.00,1.00
1,146,2010,Europe,Netherlands, 100,1.00,50.6,1.00,1.00,1.00, 6.0,1.00,42.1
1,148,2010,Asia-Pacific,New Caledonia, 100,1.00,85.2,1.00,1.00,1.00, 2.8,1.00,10.4
1,149,2010,Asia-Pacific,New Zealand, 100, 1.6,57.0,1.00, 2.1,1.00, 1.2,1.00,36.6
1,150,2010,Latin America-Caribbean,Nicaragua, 100,1.00,85.8, 1.4,1.00,1.00,1.00,1.00,12.5
1,151,2010,Sub-Saharan Africa,Niger, 100,1.00,1.00,1.00,1.00,1.00,98.4,1.00,1.00
1,152,2010,Sub-Saharan Africa,Nigeria, 100,1.00,49.3, 1.4,1.00,1.00,48.8,1.00,1.00
1,153,2010,Asia-Pacific,Niue, 100,1.00,96.4,1.00,1.00,1.00,1.00,1.00, 3.3
1,154,2010,Asia-Pacific,North Korea, 100, 1.5, 2.0,12.3,1.00,1.00,1.00,12.9,71.3
1,155,2010,Asia-Pacific,Northern Mariana Islands, 100,10.6,81.3, 5.3,1.00,1.00,1.00, 1.1, 1.0
1,156,2010,Europe,Norway, 100,1.00,84.7,1.00,1.00,1.00, 3.7,1.00,10.1
1,157,2010,Middle East-North Africa,Oman, 100,1.00, 6.5,1.00, 5.5,1.00,85.9, 1.0,1.00
1,158,2010,Asia-Pacific,Pakistan, 100,1.00, 1.6,1.00, 1.9,1.00,96.4,1.00,1.00
1,159,2010,Asia-Pacific,Palau, 100,1.00,86.7,1.00,1.00,1.00,1.00,10.4, 1.2
1,160,2010,Middle East-North Africa,Palestinian territories, 100,1.00, 2.4,1.00,1.00,1.00,97.6,1.00,1.00
1,161,2010,Latin America-Caribbean,Panama, 100,1.00,93.0,1.00,1.00,1.00,1.00,1.00, 4.8
1,162,2010,Asia-Pacific,Papua New Guinea, 100,1.00,99.0,1.00,1.00,1.00,1.00,1.00,1.00
1,163,2010,Latin America-Caribbean,Paraguay, 100,1.00,96.9, 1.7,1.00,1.00,1.00,1.00, 1.1
