 ,Area
1856,1362
1857,594
1858,554
1859,693
1860,353
1861,179
1862,671
1863,21
1864,616
1865,245
1866,430
1867,442
1868,57
1869,512
1870,546
1871,854
1872,631
1873,187
1874,134
1875,78
1876,147
1877,302
1878,407
1879,261
1880,61
1881,46
1882,752
1883,35
1884,63
1885,165
1886,121
1887,202
1888,78
1889,788
1890,21
1891,77
1892,514
1893,281
1894,103
1895,94
1896,125
1897,64
1898,282
1899,501
1900,84
1901,91
1902,123
1903,290
1904,118
1905,283
1906,301
1907,435
1908,298
1909,276
1910,158
1911,645
1912,35
1913,452
1914,783
1915,1150
1916,36
1917,396
1918,30
1919,47
1920,790
1921,23
1922,442
1923,102
1924,845
1925,593
1926,557
1927,373
1928,433
1929,26
1930,99
1931,381
1932,68
1933,702
1934,160
1935,25
1936,758
1937,431
1938,20
1939,109
1940,1010
1941,111
1942,86
1943,1033
1944,34
1945,479
1946,288
1947,695
1948,1498
1949,118
1950,617
1951,203
1952,499
1953,94
1954,184
1955,343
1956,206
1957,186
1958,120
1959,596
1960,52
1961,1293
1962,833
1963,1185
1964,42
1965,436
1966,21
1967,98
1968,433
1969,40
1970,21
1971,225
1972,66
1973,247
1974,666
1975,35
1976,24
1977,36
1978,38
1979,127
1980,46
1981,405
1982,216
1983,336
1984,1096
1985,515
1986,165
1987,248
1988,150
1989,697
1990,258
1991,55
1992,24
1993,254
1994,94
1995,719
1996,76
1997,227
1998,109
1999,63
2000,360
2001,743
2002,92
2003,229
2004,793
2005,28
2006,28
2007,37
2008,410
2009,43
2010,320
2011,339
2012,446
2013,485
2014,37
2015,27
2016,445
2017,502
2018,615
2019,623
2020,867
2021,519
2022,134
2023,59
2024,42
2025,33
2026,316
2027,97
2028,434
2029,322
2030,666
2031,53
2032,80
2033,451
2034,59
2035,23
2036,131
2037,289
2038,96
2039,223
2040,662
2041,251
2042,350
2043,432
2044,189
2045,295
2046,516
2047,196
2048,83
2049,96
2050,145
2051,99
2052,303
2053,646
2054,177
2055,497
2056,140
2057,237
2058,361
2059,352
2060,160
2061,22
2062,161
2063,23
2064,84
2065,106
2066,113
