thickness,temperature,time,img,Area,diameter
2,600,15,1,1838.1188919924857,48.37732589973958
2,600,15,1,117.850684941145,12.249577643379814
2,600,15,1,619.155837302732,28.077280787274415
2,600,15,1,1090.558577067312,37.2631494397912
2,600,15,1,1178.50684941145,38.736565728158006
2,600,15,1,976.2258230199326,35.25577005910676
2,600,15,1,207.55792273216585,16.25641273607677
2,600,15,1,2042.158883830886,50.99173901256659
2,600,15,1,654.3351462403872,28.86391144150991
2,600,15,1,1129.2558168987327,37.91850685612076
2,600,15,1,4084.317767661772,72.11320888056092
2,600,15,1,186.4503373695727,15.407658571897038
2,600,15,1,1111.6661624299052,37.62203235538636
2,600,15,1,1074.727888045367,36.991702405932415
2,600,15,1,557.5920466618353,26.644853980453014
2,600,15,1,1104.630300642374,37.50278631102711
2,600,15,1,3058.840912129122,62.407028533463865
2,600,15,1,102.01999591920016,11.397187949579736
2,600,15,1,151.27102843191747,13.878193519773186
2,600,15,1,142.47620119750366,13.468716848620176
2,600,15,1,7883.683132928536,100.18890718540756
2,600,15,1,5074.615314256766,80.38159548323466
2,600,15,1,3035.974361319646,62.173327188065564
2,600,15,1,110.81482315361397,11.878291753531524
2,600,15,1,174.13757924139338,14.890226731470378
2,600,15,1,1058.8971990234224,36.71824870014802
2,600,15,1,274.39860971371075,18.691579946806176
2,600,15,1,4082.558802214889,72.09767895491933
2,600,15,1,1507.4333879785265,43.810087886562876
2,600,15,1,153.02999387880024,13.958647489533803
2,600,15,1,109.0558577067312,11.783642502096757
2,600,15,1,1169.7120221770363,38.59175562977067
2,600,15,1,5359.5677166517735,82.60758778421616
2,600,15,1,939.2875486353946,34.58233726629733
2,600,15,1,693.032386071808,29.70515510359763
2,600,15,1,116.09171949426225,12.157819215484192
2,600,15,1,102.01999591920016,11.397187949579736
2,600,15,1,3013.10781051017,61.93874406937819
2,600,15,1,156.54792477256575,14.118180069210625
2,600,15,1,1474.013044487754,43.32172316168044
2,600,15,1,2017.5333675745273,50.68336281679217
2,600,15,1,571.6637702368974,26.978971784669888
2,600,15,1,110.81482315361397,11.878291753531524
2,600,15,1,167.10171745386234,14.586312579107151
2,600,15,1,1897.9237171864995,49.15802609556863
2,600,15,1,3320.9267637146536,65.02565094430707
2,600,15,1,5169.599448388436,81.13037931705509
2,600,15,1,144.23516664438642,13.551602042308463
2,600,15,1,197.00413005086926,15.837722338042031
2,600,15,1,112.57378860049673,11.972192754329045
2,600,15,1,698.3092824124562,29.818031337148568
2,600,15,1,2745.7450625839906,59.126907524774715
2,600,15,1,1241.8296054992295,39.76363365620006
2,600,15,1,1303.3933961401262,40.73735404161974
2,600,15,1,102.01999591920016,11.397187949579736
2,600,15,1,86.1893068972553,10.475668660037915
2,600,15,1,2429.1312821450933,55.613541586383086
2,600,15,1,5011.292558168987,79.87850684193958
2,600,15,1,1269.9730526493538,40.211688740727965
2,600,15,1,246.2551625635866,17.707111878314443
2,600,15,1,427.428603592511,23.328501894569122
2,600,15,1,3646.335371387964,68.1370559109926
2,600,15,1,112.57378860049673,11.972192754329045
2,600,15,1,4305.947413969,74.04392294452963
2,600,15,1,3658.6481295161434,68.25199981517969
2,600,15,1,2437.926109379507,55.71412684054494
2,600,15,1,3968.22604816751,71.0809561484299
2,600,15,1,1452.9054591251609,43.01042530968221
2,600,15,1,311.33688409824873,19.90995812573493
2,600,15,1,1074.727888045367,36.991702405932415
2,600,15,1,87.94827234413806,10.582023352823148
2,600,15,1,277.9165406074763,18.81101617769318
2,600,15,1,2179.3581886877414,52.676797814404296
2,600,15,1,522.4127377241801,25.790629235126953
2,600,15,1,490.7513596802904,24.9968805609319
2,600,15,1,4937.416009399911,79.28753566593204
2,600,15,1,569.9048047900146,26.93743369724035
2,600,15,1,4608.489470832835,76.60098586676277
2,600,15,1,1072.9689225984844,36.96141856753163
2,600,15,1,2580.402310577011,57.31902182655105
2,600,15,1,490.7513596802904,24.9968805609319
2,600,15,1,5046.471867106642,80.15839034432807
2,600,15,1,4629.597056195428,76.77620756547901
2,600,15,1,168.86068290074508,14.66288167517604
2,600,15,1,886.5185852289118,33.596882591337554
2,600,15,1,385.21343286732474,22.146534173316187
2,600,15,1,2659.555755686735,58.191507624122956
2,600,15,1,399.28515644238684,22.547408959971715
2,600,15,1,145.9941320912692,13.633983360628427
2,600,15,1,1405.4133920593263,42.30163008053375
2,600,15,1,399.28515644238684,22.547408959971715
2,600,15,1,1366.7161522279055,41.71518969685805
2,600,15,1,147.75309753815196,13.715869882828676
2,600,15,1,592.7713555994906,27.472530479290413
2,600,15,1,1044.8254754483603,36.47345764645258
2,600,15,1,197.00413005086926,15.837722338042031
2,600,15,1,434.46446538004204,23.519722322002245
2,600,15,1,3120.4047027700185,63.03191781267931
2,600,15,1,2573.36644878948,57.240823943174156
2,600,15,1,1519.7461461067057,43.98864502552812
2,600,15,1,2826.6574731405976,59.99176672030738
2,600,15,1,137.19930485685538,13.216942931477133
2,600,15,1,107.29689225984845,11.688226822423804
2,600,15,1,218.1117154134624,16.664587040621267
2,600,15,1,1076.48685349225,37.02196147226481
2,600,15,1,4710.509466752035,77.44421817616882
2,600,15,1,4013.9591497864612,71.48938047332383
2,600,15,1,1120.460989664319,37.77056049853785
2,600,15,1,202.28102639151754,16.048433006100538
2,600,15,1,819.6778982473668,32.305515225638366
