"name","w","blank","raw","transmittance"
"sample_4_300C.xls",3410,100,84.9827,84.9827
"sample_4_300C.xls",3409,100,84.9856,84.9856
"sample_4_300C.xls",3408,100,84.9952,84.9952
"sample_4_300C.xls",3407,100,85.0051,85.0051
"sample_4_300C.xls",3406,100,85.0095,85.0095
"sample_4_300C.xls",3405,100,85.0054,85.0054
"sample_4_300C.xls",3404,100,84.9933,84.9933
"sample_4_300C.xls",3403,100,84.9752,84.9752
"sample_4_300C.xls",3402,100,84.9529,84.9529
"sample_4_300C.xls",3401,100,84.9271,84.9271
"sample_4_300C.xls",3400,100,84.8984,84.8984
"sample_4_300C.xls",3399,100,84.8691,84.8691
"sample_4_300C.xls",3398,100,84.8445,84.8445
"sample_4_300C.xls",3397,100,84.8308,84.8308
"sample_4_300C.xls",3396,100,84.8326,84.8326
"sample_4_300C.xls",3395,100,84.8503,84.8503
"sample_4_300C.xls",3394,100,84.8791,84.8791
"sample_4_300C.xls",3393,100,84.9113,84.9113
"sample_4_300C.xls",3392,100,84.9387,84.9387
"sample_4_300C.xls",3391,100,84.9559,84.9559
"sample_4_300C.xls",3390,100,84.96,84.96
"sample_4_300C.xls",3389,100,84.9515,84.9515
"sample_4_300C.xls",3388,100,84.9326,84.9326
"sample_4_300C.xls",3387,100,84.9071,84.9071
"sample_4_300C.xls",3386,100,84.8798,84.8798
"sample_4_300C.xls",3385,100,84.8555,84.8555
"sample_4_300C.xls",3384,100,84.838,84.838
"sample_4_300C.xls",3383,100,84.8285,84.8285
"sample_4_300C.xls",3382,100,84.8254,84.8254
"sample_4_300C.xls",3381,100,84.8252,84.8252
"sample_4_300C.xls",3380,100,84.8241,84.8241
"sample_4_300C.xls",3379,100,84.8195,84.8195
"sample_4_300C.xls",3378,100,84.8111,84.8111
"sample_4_300C.xls",3377,100,84.801,84.801
"sample_4_300C.xls",3376,100,84.7923,84.7923
"sample_4_300C.xls",3375,100,84.7883,84.7883
"sample_4_300C.xls",3374,100,84.7909,84.7909
"sample_4_300C.xls",3373,100,84.8001,84.8001
"sample_4_300C.xls",3372,100,84.8136,84.8136
"sample_4_300C.xls",3371,100,84.8284,84.8284
"sample_4_300C.xls",3370,100,84.8408,84.8408
"sample_4_300C.xls",3369,100,84.8472,84.8472
"sample_4_300C.xls",3368,100,84.8445,84.8445
"sample_4_300C.xls",3367,100,84.8309,84.8309
"sample_4_300C.xls",3366,100,84.8071,84.8071
"sample_4_300C.xls",3365,100,84.7771,84.7771
"sample_4_300C.xls",3364,100,84.7478,84.7478
"sample_4_300C.xls",3363,100,84.7281,84.7281
"sample_4_300C.xls",3362,100,84.7257,84.7257
"sample_4_300C.xls",3361,100,84.744,84.744
"sample_4_300C.xls",3360,100,84.7805,84.7805
"sample_4_300C.xls",3359,100,84.8277,84.8277
"sample_4_300C.xls",3358,100,84.8759,84.8759
"sample_4_300C.xls",3357,100,84.9159,84.9159
"sample_4_300C.xls",3356,100,84.9404,84.9404
"sample_4_300C.xls",3355,100,84.9446,84.9446
"sample_4_300C.xls",3354,100,84.9265,84.9265
"sample_4_300C.xls",3353,100,84.8876,84.8876
"sample_4_300C.xls",3352,100,84.8342,84.8342
"sample_4_300C.xls",3351,100,84.7765,84.7765
"sample_4_300C.xls",3350,100,84.7277,84.7277
"sample_4_300C.xls",3349,100,84.6989,84.6989
"sample_4_300C.xls",3348,100,84.6949,84.6949
"sample_4_300C.xls",3347,100,84.7116,84.7116
"sample_4_300C.xls",3346,100,84.7376,84.7376
"sample_4_300C.xls",3345,100,84.7593,84.7593
"sample_4_300C.xls",3344,100,84.767,84.767
"sample_4_300C.xls",3343,100,84.7584,84.7584
"sample_4_300C.xls",3342,100,84.7385,84.7385
"sample_4_300C.xls",3341,100,84.7162,84.7162
"sample_4_300C.xls",3340,100,84.6992,84.6992
"sample_4_300C.xls",3339,100,84.6911,84.6911
"sample_4_300C.xls",3338,100,84.6915,84.6915
"sample_4_300C.xls",3337,100,84.6978,84.6978
"sample_4_300C.xls",3336,100,84.7081,84.7081
"sample_4_300C.xls",3335,100,84.7224,84.7224
"sample_4_300C.xls",3334,100,84.7415,84.7415
"sample_4_300C.xls",3333,100,84.766,84.766
"sample_4_300C.xls",3332,100,84.7945,84.7945
"sample_4_300C.xls",3331,100,84.8235,84.8235
"sample_4_300C.xls",3330,100,84.8488,84.8488
"sample_4_300C.xls",3329,100,84.8664,84.8664
"sample_4_300C.xls",3328,100,84.8744,84.8744
"sample_4_300C.xls",3327,100,84.8725,84.8725
"sample_4_300C.xls",3326,100,84.8622,84.8622
"sample_4_300C.xls",3325,100,84.8459,84.8459
"sample_4_300C.xls",3324,100,84.8265,84.8265
"sample_4_300C.xls",3323,100,84.806,84.806
"sample_4_300C.xls",3322,100,84.7854,84.7854
"sample_4_300C.xls",3321,100,84.7652,84.7652
"sample_4_300C.xls",3320,100,84.7468,84.7468
"sample_4_300C.xls",3319,100,84.733,84.733
"sample_4_300C.xls",3318,100,84.7269,84.7269
"sample_4_300C.xls",3317,100,84.7306,84.7306
"sample_4_300C.xls",3316,100,84.7436,84.7436
"sample_4_300C.xls",3315,100,84.7624,84.7624
"sample_4_300C.xls",3314,100,84.7819,84.7819
"sample_4_300C.xls",3313,100,84.7976,84.7976
"sample_4_300C.xls",3312,100,84.8071,84.8071
"sample_4_300C.xls",3311,100,84.8104,84.8104
"sample_4_300C.xls",3310,100,84.8087,84.8087
"sample_4_300C.xls",3309,100,84.8028,84.8028
"sample_4_300C.xls",3308,100,84.7933,84.7933
"sample_4_300C.xls",3307,100,84.7816,84.7816
"sample_4_300C.xls",3306,100,84.7698,84.7698
"sample_4_300C.xls",3305,100,84.7606,84.7606
"sample_4_300C.xls",3304,100,84.7552,84.7552
"sample_4_300C.xls",3303,100,84.753,84.753
"sample_4_300C.xls",3302,100,84.7512,84.7512
"sample_4_300C.xls",3301,100,84.7463,84.7463
"sample_4_300C.xls",3300,100,84.7368,84.7368
"sample_4_300C.xls",3299,100,84.7239,84.7239
