q,int
3.6800419,823.9903
3.683881,821.73595
3.6877205,822.00695
3.69156,820.0528
3.6953991,816.90975
3.6992386,816.9491
3.7030781,812.82395
3.7069172,811.9149
3.7107567,807.81445
3.7145962,809.8833
3.7184357,813.59315
3.7222748,821.5204
3.7261143,817.50185
3.7299538,809.7373
3.7337929,801.4883
3.7376324,801.1743
3.7414719,805.04085
3.745311,805.51775
3.7491505,806.80745
3.75299,806.40025
3.7568291,807.39655
3.7606686,804.97035
3.7645081,800.95885
3.7683475,795.3766
3.7721867,793.4844
3.7760262,791.5457
3.7798656,788.3751
3.7837048,787.91075
3.7875443,787.78565
3.7913837,788.963
3.7952229,782.29815
3.7990623,779.4116
3.8029018,774.72955
3.806741,776.8759
3.8105804,779.83025
3.8144199,775.5396
3.8182594,773.93645
3.8220985,766.18275
3.825938,765.2795
3.8297775,763.2628
3.8336166,762.01525
3.8374561,756.4724
3.8412956,753.76225
3.8451347,746.4286
3.8489742,745.9751
3.8528137,748.14625
3.8566528,752.63745
3.8604923,758.48065
3.8643318,759.7914
3.8681713,754.77925
3.8720104,750.55665
3.8758499,752.36705
3.8796894,750.83215
3.8835285,747.70085
3.887368,740.57
3.8912075,733.73165
3.8950466,733.5984
3.8988861,735.09255
3.9027256,737.05575
3.9065647,737.43865
3.9104042,734.778
3.9142437,729.35215
3.9180832,724.00865
3.9219223,725.09585
3.9257618,722.0102
3.9296013,732.72915
3.9334404,732.56565
3.9372799,727.76575
3.9411194,719.58605
3.9449585,706.9254
3.948798,702.64085
3.9526375,711.4117
3.956477,717.84615
3.9603161,721.19355
3.9641556,720.0839
3.9679951,716.24505
3.9718342,718.7182
3.9756737,719.5991
3.9795132,717.27185
3.9833523,719.49955
3.9871918,714.83165
3.9910313,719.44245
3.9948704,716.9797
3.9987099,716.02565
4.0025494,714.3289
4.0063889,714.3695
4.010228,722.65145
4.0140675,724.20125
4.017907,722.9164
4.0217461,714.2793
4.0255856,705.3831
4.029425,709.7574
4.0332642,713.2147
4.0371037,715.5518
4.0409431,715.889
4.0447823,713.1335
4.0486217,712.185
4.0524612,712.43965
4.0563007,716.2246
4.0601398,718.7207
4.0639793,725.4305
4.0678188,722.03935
4.0716579,714.43445
4.0754974,704.7207
4.0793369,701.5024
4.083176,701.88325
4.0870155,710.01355
4.090855,715.72675
4.0946941,721.2715
4.0985336,725.21345
4.1023731,723.24915
4.1062126,714.7335
4.1100517,711.4741
4.1138912,710.25795
4.1177307,709.07595
4.1215698,709.2221
4.1254093,700.28585
4.1292488,699.3172
4.1330879,696.3119
4.1369274,699.06175
4.1407669,703.7495
4.144606,705.7325
