w   Int   P
253.72627   237.47473  0
254.05687   239.75487  0
254.38745   245.45192  0
254.71805   242.79517  0
255.04865   237.84337  0
255.37924   243.73872  0
255.70984   250.73611  0
256.04044   248.11661  0
256.37103   241.48758  0
256.70163   237.90552  0
257.0322    242.30618  0
257.36279   242.61244  0
257.69339   244.20042  0
258.02399   250.34579  0
258.35458   247.0462  0
258.68518   247.96701  0
259.01578   248.84682  0
259.34637   247.00706  0
259.67697   238.99405  0
260.00757   237.94359  0
260.33817   237.44153  0
260.66873   237.13007  0
260.99933   243.65392  0
261.32993   234.8103  0
261.66052   235.63921  0
261.99112   243.90695  0
262.32172   243.40143  0
262.65231   241.30684  0
262.98291   244.05328  0
263.31351   249.38892  0
263.6441    253.14391  0
263.9747    244.42296  0
264.30527   242.36855  0
264.63586   244.14029  0
264.96646   246.5555  0
265.29706   253.1485  0
265.62766   246.37233  0
265.95825   240.97557  0
266.28885   244.83363  0
266.61945   246.70348  0
266.95004   246.46875  0
267.28064   246.85283  0
267.61121   249.11166  0
267.9418    254.20677  0
268.2724    257.73468  0
268.603 260.22705  0
268.93359   261.17075  0
269.26419   258.92447  0
269.59479   249.40593  0
269.92538   252.71136  0
270.25598   261.33173  0
270.58658   259.96539  0
270.91718   257.26843  0
271.24774   257.39655  0
271.57834   259.30081  0
271.90894   261.56793  0
272.23953   258.72311  0
272.57013   261.30576  0
272.90073   265.69333  0
273.23132   267.97806  0
273.56192   255.13034  0
273.89252   253.97002  0
274.22311   259.22049  0
274.55371   269.41037  0
274.88428   286.21826  0
275.21487   282.47925  0
275.54547   277.82227  0
275.87607   275.50607  0
276.20667   273.56393  0
276.53726   276.2713  0
276.86786   281.14825  0
277.19846   284.77271  0
277.52905   282.83459  0
277.85965   285.99258  0
278.19025   283.47247  0
278.52081   280.94019  0
278.85141   282.62219  0
279.18201   276.83807  0
279.5126    284.31146  0
279.8432    287.4003  0
280.1738    279.92368  0
280.50439   278.03928  0
280.83499   284.36108  0
281.16559   284.25186  0
281.49619   279.07681  0
281.82678   285.64429  0
282.15735   287.32672  0
282.48795   286.88782  0
282.81854   286.9931  0
283.14914   291.51648  0
283.47974   277.54532  0
283.81033   278.6665  0
284.14093   286.21124  0
284.47153   289.85022  0
284.80212   300.21338  0
285.13272   306.22107  0
285.46332   308.54764  0
285.79388   307.63522  0
286.12448   303.77573  0
286.45508   305.30945  0
286.78568   304.91708  0
287.11627   302.78485  0
287.44687   308.36292  0
287.77747   308.57782  0
288.10806   314.79034  0
288.43866   321.5994  0
288.76926   314.83673  0
289.09985   308.42868  0
289.43042   315.73288  0
289.76102   328.82721  0
290.09161   337.70444  0
290.42221   330.55588  0
290.75281   344.23123  0
291.0834    354.13345  0
291.414 347.87421  0
291.7446    353.08374  0
292.0752    366.01389  0
292.40579   367.38586  0
292.73639   361.25296  0
293.06696   386.17401  0
293.39755   388.70868  0
293.72815   396.9509  0
294.05875   408.51657  0
294.38934   409.69608  0
294.71994   416.55029  0
295.05054   411.21524  0
295.38113   405.40823  0
295.71173   412.00406  0
296.04233   418.14407  0
296.37292   419.08884  0
296.70349   418.927  0
297.03409   421.02533  0
297.36469   431.75992  0
297.69528   423.65292  0
298.02588   428.67422  0
298.35648   445.40936  0
298.68707   437.99231  0
299.01767   420.13498  0
299.34827   421.33405  0
299.67886   432.19202  0
300.00946   430.29797  0
300.34003   432.88239  0
300.67062   434.13007  0
301.00122   429.77795  0
301.33182   418.71857  0
301.66241   439.88599  0
301.99301   438.82101  0
302.32361   438.96457  0
302.65421   445.77408  0
302.9848    428.41135  0
303.3154    457.29346  0
303.646 487.50659  0
303.97656   509.01157  0
304.30716   524.66522  0
304.63776   559.7276  0
304.96835   588.8938  0
305.29895   618.58313  0
305.62955   659.77856  0
305.96014   695.84869  0
306.29074   767.60852  0
306.62134   854.08893  0
306.95193   941.94623  0
307.2825    1045.8262  0
307.6131    1195.6411  0
307.9437    1392.7051  0
308.27429   1639.8137  0
308.60489   1945.0403  0
308.93549   2331.8208  0
309.26608   2820.4626  0
309.59668   3356.9128  0
309.92728   3845.0393  0
310.25787   4211.7676  0
310.58847   4483.8535  0
310.91904   4669.4458  0
311.24963   4768.2476  0
311.58023   4640.6748  0
311.91083   4437.3105  0
312.24142   4239.0693  0
312.57202   4062.9441  0
312.90262   3817.9531  0
313.23322   3624.8628  0
313.56381   3414.8838  0
313.89441   3203.8091  0
314.22501   3056.3362  0
314.55557   2906.0972  0
314.88617   2759.0913  0
315.21677   2615.7703  0
315.54736   2477.5081  0
315.87796   2379.9819  0
316.20856   2245.0515  0
316.53915   2094.6162  0
316.86975   1945.9302  0
317.20035   1826.3624  0
317.53094   1720.3806  0
317.86154   1605.0146  0
318.19211   1480.8958  0
318.52271   1363.6656  0
318.8533    1267.811  0
319.1839    1188.7025  0
319.5145    1114.472  0
319.84509   1031.5127  0
320.17569   961.29718  0
320.50629   903.76056  0
320.83688   842.98773  0
321.16748   775.45807  0
321.49808   743.42682  0
321.82864   699.06097  0
322.15924   658.92822  0
322.48984   626.3111  0
322.82043   597.04938  0
323.15103   574.89783  0
323.48163   556.63458  0
323.81223   537.42065  0
324.14282   511.93234  0
324.47342   499.92807  0
324.80402   479.79605  0
325.13461   461.41608  0
325.46518   452.1452  0
325.79578   459.54291  0
326.12637   439.58374  0
326.45697   429.5134  0
326.78757   430.19412  0
327.11816   415.9913  0
327.44876   414.35486  0
327.77936   412.1926  0
328.10995   408.4425  0
328.44055   403.63577  0
328.77115   407.26697  0
329.10172   394.6821  0
329.43231   390.35373  0
329.76291   402.88977  0
330.09351   392.11749  0
330.4241    395.40634  0
330.7547    397.74805  0
331.0853    395.57034  0
331.41589   389.98315  0
331.74649   399.43143  0
332.07709   402.04715  0
332.40768   401.41824  0
332.73825   404.11496  0
333.06885   415.3577  0
333.39944   424.89685  0
333.73004   429.03806  0
334.06064   428.67624  0
334.39124   438.43002  0
334.72183   466.00613  0
335.05243   497.92734  0
335.38303   531.72809  0
335.71362   568.74323  0
336.04422   626.24146  0
336.37479   697.66864  0
336.70538   779.04999  0
337.03598   865.61469  0
337.36658   944.16681  0
337.69717   1037.6343  0
338.02777   1116.5787  0
338.35837   1165.1796  0
338.68896   1172.6661  0
339.01956   1159.3499  0
339.35016   1114.8273  0
339.68076   1039.6527  0
340.01132   938.56659  0
340.34192   849.35223  0
340.67252   764.4809  0
341.00311   681.10077  0
341.33371   600.10785  0
341.66431   549.7641  0
341.9949    502.88034  0
342.3255    464.98367  0
342.6561    435.56638  0
342.98669   407.10132  0
343.31726   391.38202  0
343.64786   375.07657  0
343.97845   363.85321  0
344.30905   365.8736  0
344.63965   347.3743  0
344.97025   338.75934  0
345.30084   334.03394  0
345.63144   329.67609  0
345.96204   327.01285  0
346.29263   328.77609  0
346.62323   321.57928  0
346.9538    311.32443  0
347.28439   316.76904  0
347.61499   315.56  0
347.94559   320.22388  0
348.27618   322.48306  0
348.60678   314.37344  0
348.93738   299.18622  0
349.26797   302.66675  0
349.59857   305.46338  0
349.92917   301.89624  0
350.25977   299.62253  0
350.59033   297.96082  0
350.92093   294.30765  0
351.25153   291.40714  0
351.58212   293.34399  0
351.91272   280.17957  0
352.24332   286.19183  0
352.57391   290.86633  0
352.90451   284.57138  0
353.23511   286.88126  0
353.5657    293.91827  0
353.8963    288.75186  0
354.22687   276.59015  0
354.55746   277.36322  0
354.88806   279.60974  0
355.21866   282.40869  0
355.54926   282.63495  0
355.87985   278.32321  0
356.21045   278.01782  0
356.54105   290.33597  0
356.87164   290.93329  0
357.20224   278.7359  0
357.53284   278.99567  0
357.8634    276.07712  0
358.194 272.60321  0
358.5246    271.35291  0
358.85519   275.04245  0
359.18579   276.02805  0
359.51639   275.41632  0
359.84698   273.15863  0
360.17758   269.84  0
360.50818   268.19556  0
360.83878   267.82132  0
361.16937   263.78165  0
361.49994   260.46988  0
361.83054   266.98065  0
362.16113   267.75861  0
362.49173   261.41852  0
362.82233   258.09869  0
363.15292   263.36652  0
363.48352   263.93234  0
363.81412   270.02701  0
364.14471   263.58044  0
364.47531   251.01889  0
364.80591   258.94296  0
365.13647   261.13144  0
365.46707   255.01265  0
365.79767   248.42099  0
366.12827   248.45883  0
366.45886   249.53598  0
366.78946   255.99368  0
367.12006   259.42096  0
367.45065   259.0726  0
367.78125   262.46884  0
368.11185   258.31317  0
368.44244   256.74496  0
368.77301   259.66565  0
369.10361   266.6066  0
369.4342    251.50246  0
369.7648    259.61594  0
370.0954    264.66391  0
370.42599   257.80048  0
370.75659   253.9257  0
371.08719   250.9118  0
371.41779   260.62949  0
371.74838   267.1857  0
372.07898   246.51155  0
372.40955   244.64458  0
372.74014   246.90344  0
373.07074   249.63432  0
373.40134   251.22264  0
373.73193   254.54027  0
374.06253   249.10345  0
374.39313   244.82011  0
374.72372   244.72591  0
375.05432   250.41763  0
375.38492   249.87556  0
375.71552   247.69435  0
376.04608   244.33647  0
376.37668   240.64125  0
376.70728   239.65219  0
377.03787   249.66649  0
377.36847   252.70697  0
377.69907   244.97139  0
378.02966   228.0002  0
378.36026   235.49561  0
378.69086   230.87233  0
379.02145   231.46819  0
379.35202   246.83257  0
379.68262   244.33206  0
380.01321   249.51776  0
380.34381   249.76024  0
380.67441   246.70331  0
381.005 251.3192  0
381.3356    249.22783  0
381.6662    246.66956  0
381.9968    242.78113  0
382.32739   238.3643  0
382.65799   246.83084  0
382.98856   244.54648  0
383.31915   239.21463  0
383.64975   236.56235  0
383.98035   244.02495  0
384.31094   246.70628  0
384.64154   238.34842  0
384.97214   232.84709  0
385.30273   240.17741  0
385.63333   240.74066  0
385.96393   239.35872  0
386.29453   241.86844  0
386.62509   245.2429  0
386.95569   237.97702  0
387.28629   242.70181  0
387.61688   245.73015  0
387.94748   245.81007  0
388.27808   243.51205  0
388.60867   246.21471  0
388.93927   242.43234  0
389.26987   245.26395  0
389.60046   251.17842  0
389.93106   242.5799  0
390.26163   248.0687  0
390.59222   252.94173  0
390.92282   254.85414  0
391.25342   252.584  0
391.58401   245.5739  0
391.91461   250.68822  0
392.24521   250.11536  0
392.57581   245.05457  0
392.9064    251.13803  0
393.237 252.90985  0
393.5676    253.1145  0
393.89816   254.49538  0
394.22876   257.79813  0
394.55936   251.36681  0
