time    temperature
-15685.85600988314      -3.852023390348198
-15634.44128702542      -3.8567825876967987
-15618.207376404        -3.8566935095915573
-15601.570138810617     -3.856602218365688
-15584.529574245276     -3.856508714019192
-15565.250627159074     -3.853378136332089
-15540.769920159732     -3.8454657727871275
-15516.560747616664     -3.841011803163876
-15498.505074221666     -3.825788773890168
-15480.573074391395     -3.8181284006634697
-15463.935836798017     -3.8180371094376007
-15447.298599204634     -3.817945818211732
-15424.010762557198     -3.8253800114983383
-15402.24399402121      -3.847946505992943
-15387.184948946473     -3.833820202195726
-15362.602577535486     -3.8527703053865165
-15340.620210254056     -3.824922433988676
-15317.92838660748      -3.824797920265393
-15301.009745794265     -3.81714310750427
-15286.27517563881      -3.814541597380421
-15267.693336217195     -3.826682837361802
-15247.046757626122     -3.8168470038203637
-15225.78493261591      -3.814209677588588
-15201.632449942477     -3.831721762995383
-15185.705046551306     -3.816510411884985
-15168.689689921712     -3.816417045858528
-15146.50983630824      -3.7957699740878246
-15122.956319377306     -3.7783562122733354
-15101.892669775123     -3.7479927228853183
-15085.037408914643     -3.740338257900294
-15068.40017132126      -3.740246966674425
-15049.696644310077     -3.73863194189678
-15027.862559951423     -3.6892512531839117
-15007.833936590065     -3.694542765323353
-14989.758714759115     -3.6919229245009757
-14969.66133552443      -3.6716473737688826
-14948.244515411257     -3.6685050652251223
-14926.764478081142     -3.645485211982051
-14903.419454705834     -3.653135147973792
-14880.757457630214     -3.628812470137542
-14858.789478771043     -3.645112222116358
-14833.975521549102     -3.6406549339413083
-14817.327016515983     -3.6178776485989728
-14804.300942604023     -3.5799962852646363
-14790.49337434652      -3.610168430614433
-14767.422916870797     -3.6024798618357448
-14748.042694949094     -3.5847289054057057
-14724.19670703794      -3.5644327854487363
-14702.697372741257     -3.5567528376782054
-14683.683623773337     -3.5611856926063314
-14668.796711162086     -3.541442864379861
-14650.018084804067     -3.533777845575846
-14632.607529130404     -3.5261203335979583
-14615.623758551845     -3.5033412085991014
-14601.564246281489     -3.493181425197485
-14578.867525254238     -3.521624354892834
-14553.205548582819     -3.5029987097393818
-14535.15467669939      -3.4877757068123483
-14510.265646716167     -3.480077159230832
-14486.066202413036     -3.4602832316298824
-14467.866720523994     -3.449596599713641
-14449.67837073007      -3.4268108649929108
-14425.325123146922     -3.4158744098664497
-14402.008414418851     -3.411425337337157
-14384.658563224784     -3.396206181024547
-14368.021325631404     -3.396114889798678
-14349.555844029444     -3.398534225844238
-14330.270262639922     -3.3656598338620474
-14308.414988791781     -3.356465537507352
-14289.095462487821     -3.3624091100715656
-14270.36181888149      -3.342645174207114
-14254.436010623362     -3.3349958092795347
-14237.493807761668     -3.319778889799559
-14220.870459910064     -3.312125697358895
-14204.240835451641     -3.2969104930474047
-14187.42215147511      -3.2816942513356206
-14170.927364095818     -3.2740417643271567
