t(ns)	MSD(A2)
0.345000	2.386267e+03
0.346000	2.393193e+03
0.347000	2.400118e+03
0.348000	2.407046e+03
0.349000	2.413973e+03
0.350000	2.420901e+03
0.351000	2.427830e+03
0.352000	2.434759e+03
0.353000	2.441689e+03
0.354000	2.448616e+03
0.355000	2.455546e+03
0.356000	2.462476e+03
0.357000	2.469407e+03
0.358000	2.476339e+03
0.359000	2.483268e+03
0.360000	2.490196e+03
0.361000	2.497125e+03
0.362000	2.504054e+03
0.363000	2.510983e+03
0.364000	2.517912e+03
0.365000	2.524842e+03
0.366000	2.531771e+03
0.367000	2.538699e+03
0.368000	2.545630e+03
0.369000	2.552560e+03
0.370000	2.559489e+03
0.371000	2.566416e+03
0.372000	2.573342e+03
0.373000	2.580269e+03
0.374000	2.587196e+03
0.375000	2.594123e+03
0.376000	2.601050e+03
0.377000	2.607977e+03
0.378000	2.614902e+03
0.379000	2.621829e+03
0.380000	2.628755e+03
0.381000	2.635679e+03
0.382000	2.642603e+03
0.383000	2.649529e+03
0.384000	2.656454e+03
0.385000	2.663380e+03
0.386000	2.670307e+03
0.387000	2.677235e+03
0.388000	2.684163e+03
0.389000	2.691088e+03
0.390000	2.698012e+03
0.391000	2.704935e+03
0.392000	2.711859e+03
0.393000	2.718782e+03
0.394000	2.725707e+03
0.395000	2.732629e+03
0.396000	2.739552e+03
0.397000	2.746477e+03
0.398000	2.753404e+03
0.399000	2.760332e+03
0.400000	2.767260e+03
0.401000	2.774186e+03
0.402000	2.781114e+03
0.403000	2.788043e+03
0.404000	2.794973e+03
0.405000	2.801903e+03
0.406000	2.808832e+03
0.407000	2.815760e+03
0.408000	2.822686e+03
0.409000	2.829612e+03
0.410000	2.836538e+03
0.411000	2.843466e+03
0.412000	2.850393e+03
0.413000	2.857320e+03
0.414000	2.864247e+03
0.415000	2.871173e+03
0.416000	2.878098e+03
0.417000	2.885023e+03
0.418000	2.891949e+03
0.419000	2.898876e+03
0.420000	2.905802e+03
0.421000	2.912726e+03
0.422000	2.919650e+03
0.423000	2.926573e+03
0.424000	2.933498e+03
0.425000	2.940424e+03
0.426000	2.947351e+03
0.427000	2.954277e+03
0.428000	2.961203e+03
0.429000	2.968128e+03
0.430000	2.975050e+03
0.431000	2.981973e+03
0.432000	2.988896e+03
0.433000	2.995818e+03
0.434000	3.002740e+03
0.435000	3.009662e+03
0.436000	3.016585e+03
0.437000	3.023508e+03
0.438000	3.030429e+03
0.439000	3.037349e+03
0.440000	3.044268e+03
0.441000	3.051186e+03
0.442000	3.058106e+03
0.443000	3.065026e+03
0.444000	3.071946e+03
0.445000	3.078867e+03
0.446000	3.085787e+03
0.447000	3.092709e+03
0.448000	3.099628e+03
0.449000	3.106547e+03
0.450000	3.113465e+03
0.451000	3.120384e+03
0.452000	3.127303e+03
0.453000	3.134221e+03
0.454000	3.141138e+03
0.455000	3.148056e+03
0.456000	3.154975e+03
0.457000	3.161895e+03
0.458000	3.168813e+03
0.459000	3.175730e+03
0.460000	3.182645e+03
0.461000	3.189562e+03
0.462000	3.196477e+03
0.463000	3.203390e+03
0.464000	3.210303e+03
0.465000	3.217214e+03
0.466000	3.224126e+03
0.467000	3.231036e+03
0.468000	3.237946e+03
0.469000	3.244854e+03
0.470000	3.251763e+03
0.471000	3.258671e+03
0.472000	3.265580e+03
0.473000	3.272489e+03
0.474000	3.279399e+03
0.475000	3.286307e+03
