t(ns)	MSD(A2)
0.380000	1.537187e+03
0.381000	1.540945e+03
0.382000	1.544702e+03
0.383000	1.548459e+03
0.384000	1.552215e+03
0.385000	1.555973e+03
0.386000	1.559729e+03
0.387000	1.563484e+03
0.388000	1.567239e+03
0.389000	1.570994e+03
0.390000	1.574750e+03
0.391000	1.578506e+03
0.392000	1.582262e+03
0.393000	1.586018e+03
0.394000	1.589774e+03
0.395000	1.593530e+03
0.396000	1.597285e+03
0.397000	1.601041e+03
0.398000	1.604797e+03
0.399000	1.608552e+03
0.400000	1.612308e+03
0.401000	1.616063e+03
0.402000	1.619818e+03
0.403000	1.623573e+03
0.404000	1.627326e+03
0.405000	1.631080e+03
0.406000	1.634835e+03
0.407000	1.638589e+03
0.408000	1.642342e+03
0.409000	1.646096e+03
0.410000	1.649849e+03
0.411000	1.653601e+03
0.412000	1.657352e+03
0.413000	1.661103e+03
0.414000	1.664854e+03
0.415000	1.668605e+03
0.416000	1.672356e+03
0.417000	1.676107e+03
0.418000	1.679858e+03
0.419000	1.683609e+03
0.420000	1.687360e+03
0.421000	1.691111e+03
0.422000	1.694862e+03
0.423000	1.698613e+03
0.424000	1.702364e+03
0.425000	1.706115e+03
0.426000	1.709865e+03
0.427000	1.713615e+03
0.428000	1.717365e+03
0.429000	1.721115e+03
0.430000	1.724866e+03
0.431000	1.728615e+03
0.432000	1.732364e+03
0.433000	1.736112e+03
0.434000	1.739860e+03
0.435000	1.743608e+03
0.436000	1.747355e+03
0.437000	1.751102e+03
0.438000	1.754848e+03
0.439000	1.758594e+03
0.440000	1.762341e+03
0.441000	1.766087e+03
0.442000	1.769834e+03
0.443000	1.773581e+03
0.444000	1.777328e+03
0.445000	1.781075e+03
0.446000	1.784822e+03
0.447000	1.788568e+03
0.448000	1.792314e+03
0.449000	1.796059e+03
0.450000	1.799804e+03
0.451000	1.803548e+03
0.452000	1.807292e+03
0.453000	1.811035e+03
0.454000	1.814778e+03
0.455000	1.818519e+03
0.456000	1.822260e+03
0.457000	1.826001e+03
0.458000	1.829743e+03
0.459000	1.833485e+03
0.460000	1.837227e+03
0.461000	1.840969e+03
0.462000	1.844711e+03
0.463000	1.848453e+03
0.464000	1.852195e+03
0.465000	1.855937e+03
0.466000	1.859679e+03
0.467000	1.863420e+03
0.468000	1.867162e+03
0.469000	1.870904e+03
0.470000	1.874646e+03
0.471000	1.878387e+03
0.472000	1.882127e+03
